"no_of_adults","no_of_children","no_of_weekend_nights","no_of_week_nights","type_of_meal_plan","required_car_parking_space","room_type_reserved","lead_time","arrival_year","arrival_month","market_segment_type","repeated_guest","no_of_previous_cancellations","no_of_special_requests","booking_status","avg_price_per_room"
2,0,2,5,"Meal Plan 1",0,"Room_Type 1",171,2018,8,"Online",0,0,0,"Canceled",111.59
2,1,0,2,"Meal Plan 1",1,"Room_Type 1",134,2018,8,"Online",0,0,2,"Not_Canceled",130.5
2,0,0,2,"Meal Plan 2",0,"Room_Type 1",320,2018,8,"Online",0,0,1,"Canceled",115
2,0,0,4,"Meal Plan 1",0,"Room_Type 1",118,2018,4,"Online",0,0,1,"Not_Canceled",90.95
2,0,0,3,"Meal Plan 1",0,"Room_Type 1",30,2018,11,"Online",0,0,1,"Not_Canceled",76.08
2,2,1,3,"Meal Plan 1",0,"Room_Type 6",30,2018,12,"Online",0,0,0,"Not_Canceled",156.9
2,0,1,0,"Not Selected",0,"Room_Type 1",189,2018,10,"Online",0,0,2,"Not_Canceled",85.5
3,0,1,2,"Meal Plan 1",0,"Room_Type 4",55,2018,5,"Online",0,0,2,"Not_Canceled",159.3
1,0,0,4,"Meal Plan 1",0,"Room_Type 1",55,2018,12,"Online",0,0,2,"Not_Canceled",74.8
2,0,0,1,"Meal Plan 1",0,"Room_Type 1",16,2017,10,"Online",0,0,1,"Not_Canceled",95
2,0,0,3,"Meal Plan 1",0,"Room_Type 1",24,2017,10,"Online",0,0,1,"Not_Canceled",107
2,0,0,3,"Meal Plan 1",0,"Room_Type 1",8,2018,2,"Offline",0,0,0,"Not_Canceled",64
2,0,1,4,"Meal Plan 1",1,"Room_Type 1",10,2017,11,"Online",0,0,0,"Not_Canceled",82.95
2,0,1,3,"Meal Plan 1",0,"Room_Type 4",0,2017,9,"Online",0,0,1,"Not_Canceled",155
2,0,0,1,"Not Selected",0,"Room_Type 1",12,2018,6,"Online",0,0,1,"Not_Canceled",101.68
2,0,2,1,"Meal Plan 1",0,"Room_Type 1",32,2017,9,"Online",0,0,3,"Not_Canceled",94.5
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",182,2018,9,"Online",0,0,2,"Canceled",117.9
2,0,1,0,"Not Selected",0,"Room_Type 1",1,2018,6,"Online",0,0,1,"Not_Canceled",127
2,0,0,3,"Not Selected",0,"Room_Type 1",122,2018,6,"Online",0,0,2,"Not_Canceled",116.1
2,0,2,3,"Meal Plan 1",0,"Room_Type 1",40,2018,6,"Online",0,0,1,"Not_Canceled",117.9
2,2,2,2,"Meal Plan 1",0,"Room_Type 2",116,2018,6,"Online",0,0,1,"Canceled",184.24
3,0,2,2,"Meal Plan 1",1,"Room_Type 4",123,2018,8,"Online",0,0,1,"Not_Canceled",155.7
3,0,2,5,"Meal Plan 1",0,"Room_Type 4",40,2018,4,"Online",0,0,0,"Canceled",135.76
2,1,2,5,"Meal Plan 1",0,"Room_Type 1",105,2018,11,"Online",0,0,3,"Not_Canceled",102.83
2,0,0,1,"Meal Plan 1",0,"Room_Type 1",443,2018,4,"Online",0,0,0,"Canceled",65
2,0,2,3,"Meal Plan 1",0,"Room_Type 1",2,2017,11,"Online",0,0,1,"Not_Canceled",103
2,0,0,3,"Meal Plan 1",0,"Room_Type 1",317,2018,9,"Online",0,0,1,"Canceled",106.2
2,0,0,2,"Meal Plan 2",0,"Room_Type 1",286,2018,9,"Offline",0,0,0,"Not_Canceled",58.5
2,0,1,3,"Meal Plan 1",0,"Room_Type 1",68,2018,3,"Online",0,0,0,"Canceled",73.95
2,0,0,3,"Meal Plan 1",0,"Room_Type 1",148,2018,5,"Online",0,0,0,"Not_Canceled",105.3
3,0,2,0,"Meal Plan 1",0,"Room_Type 4",68,2018,4,"Online",0,0,2,"Not_Canceled",133.2
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",30,2018,3,"Offline",0,0,0,"Not_Canceled",85.5
1,0,0,1,"Meal Plan 1",0,"Room_Type 1",14,2018,11,"Online",0,0,1,"Canceled",112
2,2,0,2,"Meal Plan 1",0,"Room_Type 6",110,2018,10,"Online",0,0,0,"Canceled",190.8
1,0,2,3,"Meal Plan 1",0,"Room_Type 1",117,2018,6,"Offline",0,0,0,"Not_Canceled",110
2,0,1,4,"Meal Plan 1",0,"Room_Type 4",85,2018,7,"Online",0,0,1,"Not_Canceled",91.48
2,0,0,2,"Not Selected",0,"Room_Type 1",1,2018,10,"Online",0,0,2,"Not_Canceled",135
1,0,1,2,"Meal Plan 1",0,"Room_Type 1",25,2018,10,"Online",0,0,2,"Not_Canceled",129
2,0,2,4,"Not Selected",0,"Room_Type 1",289,2018,12,"Online",0,0,2,"Canceled",70.55
2,0,1,4,"Meal Plan 1",0,"Room_Type 4",28,2017,10,"Offline",0,0,0,"Not_Canceled",75
1,0,0,4,"Not Selected",0,"Room_Type 1",80,2018,3,"Online",0,0,0,"Not_Canceled",72.25
2,0,0,1,"Meal Plan 1",0,"Room_Type 4",11,2017,10,"Online",0,0,2,"Not_Canceled",155
2,1,1,0,"Meal Plan 1",0,"Room_Type 1",162,2018,7,"Online",0,0,2,"Canceled",121.5
2,0,2,5,"Meal Plan 1",0,"Room_Type 1",155,2018,6,"Online",0,0,2,"Not_Canceled",90.95
1,0,2,2,"Meal Plan 1",0,"Room_Type 1",82,2018,5,"Online",0,0,0,"Not_Canceled",109.65
3,0,2,4,"Meal Plan 1",0,"Room_Type 4",27,2018,4,"Online",0,0,0,"Canceled",142.72
1,0,1,2,"Meal Plan 1",0,"Room_Type 1",13,2018,5,"Offline",0,0,0,"Not_Canceled",90
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",245,2018,6,"Online",0,0,0,"Canceled",75
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",11,2018,11,"Online",0,0,1,"Canceled",111
2,0,2,2,"Meal Plan 1",0,"Room_Type 1",266,2018,10,"Online",0,0,2,"Not_Canceled",86.7
2,0,1,0,"Meal Plan 1",0,"Room_Type 1",39,2018,3,"Online",0,0,1,"Not_Canceled",117.9
1,0,0,2,"Meal Plan 1",0,"Room_Type 1",13,2018,6,"Complementary",1,3,1,"Not_Canceled",0
2,0,0,4,"Not Selected",0,"Room_Type 1",112,2018,5,"Online",0,0,1,"Not_Canceled",101.58
2,0,1,2,"Not Selected",0,"Room_Type 1",88,2018,4,"Online",0,0,1,"Not_Canceled",58.9
2,0,0,1,"Meal Plan 1",0,"Room_Type 1",56,2018,6,"Offline",0,0,0,"Not_Canceled",120
2,0,2,3,"Meal Plan 1",0,"Room_Type 4",73,2018,4,"Online",0,0,0,"Canceled",107.1
2,0,1,1,"Meal Plan 1",0,"Room_Type 1",80,2018,5,"Online",0,0,1,"Not_Canceled",126.9
2,0,0,3,"Meal Plan 1",0,"Room_Type 4",130,2018,9,"Online",0,0,2,"Canceled",139.5
2,0,1,3,"Not Selected",0,"Room_Type 1",69,2018,4,"Online",0,0,1,"Not_Canceled",80.75
2,0,0,2,"Meal Plan 2",0,"Room_Type 1",273,2017,7,"Online",0,0,0,"Canceled",109
2,0,0,1,"Meal Plan 2",0,"Room_Type 1",55,2018,4,"Offline",0,0,0,"Not_Canceled",104
1,0,0,3,"Meal Plan 1",0,"Room_Type 1",4,2018,11,"Corporate",1,1,1,"Not_Canceled",65
2,0,0,3,"Meal Plan 1",0,"Room_Type 4",97,2018,5,"Online",0,0,0,"Not_Canceled",140.4
2,0,0,3,"Meal Plan 1",0,"Room_Type 1",44,2018,2,"Offline",0,0,0,"Not_Canceled",75
2,0,0,1,"Not Selected",0,"Room_Type 1",31,2018,4,"Online",0,0,0,"Canceled",94.5
2,0,1,0,"Not Selected",0,"Room_Type 1",0,2018,6,"Online",0,0,0,"Not_Canceled",109
2,0,2,2,"Meal Plan 1",0,"Room_Type 1",62,2018,11,"Online",0,0,2,"Not_Canceled",105
2,0,2,2,"Meal Plan 1",0,"Room_Type 4",86,2018,4,"Online",0,0,1,"Not_Canceled",107.95
3,0,2,2,"Meal Plan 1",0,"Room_Type 7",3,2018,10,"Online",0,0,1,"Not_Canceled",215.6
2,0,1,1,"Not Selected",0,"Room_Type 1",197,2018,8,"Online",0,0,1,"Not_Canceled",85.5
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",143,2018,7,"Online",0,0,2,"Not_Canceled",105.3
1,0,2,1,"Meal Plan 2",0,"Room_Type 1",23,2018,1,"Online",0,0,0,"Not_Canceled",1
2,0,0,2,"Meal Plan 1",0,"Room_Type 4",8,2018,6,"Online",0,0,0,"Canceled",156
1,0,0,2,"Meal Plan 1",0,"Room_Type 1",13,2018,11,"Online",0,0,1,"Not_Canceled",73.15
2,0,1,2,"Meal Plan 1",0,"Room_Type 1",280,2018,9,"Online",0,0,0,"Canceled",110
2,1,1,0,"Not Selected",0,"Room_Type 1",11,2017,9,"Online",0,0,1,"Not_Canceled",87.4
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",317,2018,9,"Online",0,0,0,"Canceled",120
2,0,1,2,"Not Selected",0,"Room_Type 1",185,2018,12,"Online",0,0,0,"Canceled",79.2
2,0,1,3,"Meal Plan 1",0,"Room_Type 1",160,2018,6,"Online",0,0,1,"Not_Canceled",90.95
2,0,0,4,"Meal Plan 1",0,"Room_Type 1",104,2018,10,"Online",0,0,1,"Not_Canceled",91.48
2,1,0,1,"Meal Plan 1",0,"Room_Type 1",11,2018,11,"Online",0,0,1,"Canceled",150
2,0,0,1,"Not Selected",0,"Room_Type 1",2,2018,3,"Online",0,0,0,"Not_Canceled",89
2,0,1,4,"Not Selected",0,"Room_Type 1",14,2018,8,"Online",0,0,1,"Not_Canceled",91.43
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",22,2018,5,"Offline",0,0,0,"Not_Canceled",140
1,1,2,5,"Not Selected",0,"Room_Type 1",37,2017,10,"Online",0,0,0,"Not_Canceled",87.78
2,0,0,2,"Meal Plan 2",0,"Room_Type 1",292,2018,7,"Online",0,0,0,"Canceled",115
2,0,0,3,"Meal Plan 1",0,"Room_Type 1",11,2017,9,"Online",0,0,1,"Not_Canceled",80.85
2,0,1,3,"Meal Plan 1",0,"Room_Type 1",86,2018,3,"Online",0,0,1,"Not_Canceled",82.45
2,0,0,1,"Not Selected",0,"Room_Type 1",109,2018,10,"Online",0,0,0,"Canceled",108
2,0,1,1,"Meal Plan 1",0,"Room_Type 4",72,2018,4,"Online",0,0,1,"Not_Canceled",96.3
2,0,1,5,"Meal Plan 1",0,"Room_Type 1",196,2018,8,"Online",0,0,0,"Canceled",99.45
2,0,0,2,"Meal Plan 1",0,"Room_Type 4",56,2018,5,"Online",0,0,1,"Not_Canceled",140.4
2,0,1,3,"Meal Plan 1",0,"Room_Type 1",189,2018,8,"Offline",0,0,0,"Not_Canceled",72.25
2,0,1,4,"Meal Plan 1",0,"Room_Type 4",126,2018,8,"Online",0,0,0,"Not_Canceled",126
2,0,2,3,"Meal Plan 1",0,"Room_Type 1",303,2018,8,"Online",0,0,0,"Canceled",78
1,0,2,2,"Meal Plan 1",0,"Room_Type 4",81,2018,11,"Online",0,0,1,"Not_Canceled",146.6
2,0,1,2,"Meal Plan 1",0,"Room_Type 1",54,2018,10,"Online",0,0,0,"Canceled",118.8
1,0,0,1,"Meal Plan 1",0,"Room_Type 1",15,2018,10,"Online",0,0,0,"Canceled",145
2,0,0,4,"Meal Plan 1",0,"Room_Type 1",86,2018,4,"Online",0,0,0,"Canceled",84.58
2,0,1,2,"Meal Plan 2",0,"Room_Type 1",161,2018,3,"Online",0,0,0,"Canceled",130
2,0,4,10,"Meal Plan 1",0,"Room_Type 4",147,2018,8,"Online",0,0,1,"Canceled",118.88
2,0,1,2,"Meal Plan 1",0,"Room_Type 1",92,2018,5,"Offline",0,0,0,"Not_Canceled",101.52
2,0,0,1,"Meal Plan 1",0,"Room_Type 1",87,2017,9,"Corporate",0,0,0,"Canceled",100
2,0,2,1,"Meal Plan 1",0,"Room_Type 1",109,2018,3,"Offline",0,0,0,"Not_Canceled",58
2,0,0,4,"Meal Plan 1",0,"Room_Type 1",127,2018,3,"Offline",0,0,2,"Not_Canceled",61.5
2,0,1,2,"Meal Plan 2",0,"Room_Type 1",418,2018,9,"Online",0,0,0,"Canceled",107
2,0,1,4,"Not Selected",0,"Room_Type 1",156,2018,8,"Online",0,0,1,"Not_Canceled",87.3
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",80,2017,7,"Online",0,0,1,"Canceled",76.5
2,0,2,2,"Not Selected",0,"Room_Type 1",211,2018,12,"Online",0,0,0,"Canceled",63.75
2,0,1,2,"Meal Plan 1",0,"Room_Type 1",273,2018,5,"Online",0,0,0,"Canceled",95
2,0,2,1,"Meal Plan 1",0,"Room_Type 1",58,2018,11,"Offline",0,0,1,"Not_Canceled",75
2,0,0,3,"Meal Plan 1",0,"Room_Type 1",433,2018,9,"Online",0,0,0,"Canceled",70
2,0,1,3,"Meal Plan 1",0,"Room_Type 1",111,2018,5,"Online",0,0,1,"Not_Canceled",101.58
2,0,2,3,"Meal Plan 1",0,"Room_Type 1",34,2018,8,"Offline",0,0,0,"Not_Canceled",85
2,0,2,4,"Meal Plan 1",0,"Room_Type 1",17,2018,12,"Online",0,0,0,"Not_Canceled",98.39
1,0,0,0,"Meal Plan 1",0,"Room_Type 1",4,2018,2,"Complementary",0,0,1,"Not_Canceled",0
2,0,0,3,"Meal Plan 1",0,"Room_Type 1",6,2017,9,"Online",0,0,1,"Not_Canceled",106.07
2,0,1,1,"Meal Plan 1",0,"Room_Type 1",32,2018,7,"Offline",0,0,1,"Not_Canceled",105
2,0,0,1,"Meal Plan 1",0,"Room_Type 1",4,2017,9,"Online",0,0,2,"Not_Canceled",145
3,0,2,1,"Meal Plan 1",0,"Room_Type 1",195,2018,8,"Online",0,0,1,"Canceled",106.03
2,0,2,2,"Meal Plan 1",0,"Room_Type 1",119,2018,8,"Online",0,0,1,"Not_Canceled",114.3
1,0,1,1,"Not Selected",0,"Room_Type 1",13,2018,12,"Online",0,0,0,"Not_Canceled",88
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",59,2017,10,"Online",0,0,2,"Not_Canceled",89.25
2,1,2,5,"Meal Plan 1",0,"Room_Type 4",78,2018,3,"Online",0,0,1,"Not_Canceled",86.32
2,0,0,3,"Meal Plan 1",0,"Room_Type 1",335,2018,10,"Offline",0,0,1,"Not_Canceled",90
2,0,2,5,"Meal Plan 1",0,"Room_Type 1",103,2017,8,"Online",0,0,0,"Not_Canceled",55.96
1,0,0,2,"Not Selected",0,"Room_Type 1",0,2018,6,"Online",0,0,1,"Not_Canceled",109
2,0,0,1,"Meal Plan 1",0,"Room_Type 1",118,2018,3,"Offline",0,0,0,"Not_Canceled",86
2,0,1,5,"Meal Plan 1",0,"Room_Type 1",56,2018,9,"Online",0,0,0,"Not_Canceled",118.95
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",107,2018,6,"Offline",0,0,1,"Not_Canceled",130
2,0,1,3,"Not Selected",0,"Room_Type 1",70,2018,4,"Online",0,0,1,"Not_Canceled",90.56
2,0,0,2,"Meal Plan 1",0,"Room_Type 1",76,2018,4,"Online",0,0,1,"Not_Canceled",87.3
2,2,2,2,"Meal Plan 1",0,"Room_Type 6",144,2018,5,"Online",0,0,1,"Canceled",177.65
1,2,2,2,"Meal Plan 1",0,"Room_Type 6",4,2017,9,"Online",0,0,2,"Not_Canceled",200.75
2,1,0,2,"Meal Plan 1",0,"Room_Type 1",15,2018,3,"Online",0,0,1,"Not_Canceled",127
1,0,1,2,"Meal Plan 1",0,"Room_Type 1",32,2018,2,"Online",0,0,0,"Canceled",72.9
3,0,1,1,"Meal Plan 1",0,"Room_Type 4",49,2018,5,"Online",0,0,0,"Canceled",159.3
2,1,1,3,"Meal Plan 1",0,"Room_Type 1",77,2018,5,"Online",0,0,1,"Not_Canceled",135.15
1,0,0,2,"Meal Plan 1",0,"Room_Type 1",22,2018,10,"Offline",0,0,0,"Not_Canceled",90
2,0,1,0,"Not Selected",0,"Room_Type 1",0,2017,10,"Online",0,0,0,"Not_Canceled",114
2,1,0,1,"Meal Plan 1",1,"Room_Type 1",58,2018,6,"Online",0,0,1,"Not_Canceled",125.1
2,0,2,6,"Not Selected",0,"Room_Type 1",4,2017,8,"Online",0,0,1,"Not_Canceled",95.13
2,0,0,2,"Meal Plan 1",0,"Room_Type 5",117,2018,4,"Online",0,0,0,"Canceled",105.84
2,0,1,3,"Meal Plan 1",0,"Room_Type 1",36,2018,12,"Online",0,0,0,"Canceled",102
2,0,2,2,"Not Selected",0,"Room_Type 1",35,2018,12,"Online",0,0,2,"Not_Canceled",74.8
2,0,1,0,"Not Selected",0,"Room_Type 1",31,2018,4,"Online",0,0,0,"Canceled",94.5
2,0,2,4,"Not Selected",0,"Room_Type 1",79,2018,6,"Online",0,0,0,"Not_Canceled",120.6
